year,mo,data-type,region,extent,area
2019,4,NRTSI-G,S,5.71,4.16
2019,4,NRTSI-G,N,13.45,11.86
2019,3,NRTSI-G,S,3.16,2.09
2019,3,NRTSI-G,N,14.55,12.81
2019,2,NRTSI-G,S,2.66,1.80
2019,2,NRTSI-G,N,14.40,12.69
2019,1,NRTSI-G,S,3.83,2.62
2019,1,NRTSI-G,N,13.56,12.10
2018,12,NRTSI-G,S,9.03,5.48
2018,12,NRTSI-G,N,11.86,10.41
2018,11,NRTSI-G,S,15.01,10.67
2018,11,NRTSI-G,N,9.80,8.36
2018,10,NRTSI-G,S,17.66,13.92
2018,10,NRTSI-G,N,6.06,4.52
2018,9,NRTSI-G,S,17.88,14.10
2018,9,NRTSI-G,N,4.71,3.30
2018,8,NRTSI-G,S,17.34,13.94
2018,8,NRTSI-G,N,5.61,3.89
2018,7,NRTSI-G,S,15.66,12.48
2018,7,NRTSI-G,N,8.22,5.71
2018,6,NRTSI-G,S,12.85,10.21
2018,6,NRTSI-G,N,10.71,8.71
2018,5,NRTSI-G,S,9.29,7.13
2018,5,NRTSI-G,N,12.21,10.77
2018,4,NRTSI-G,S,6.01,4.11
2018,4,NRTSI-G,N,13.71,12.25
2018,3,NRTSI-G,S,3.53,2.29
2018,3,NRTSI-G,N,14.30,12.61
2018,2,NRTSI-G,S,2.29,1.61
2018,2,NRTSI-G,N,13.95,12.22
2018,1,NRTSI-G,S,4.13,2.64
2018,1,NRTSI-G,N,13.06,11.64
2017,12,Goddard,S,9.48,6.23
2017,12,Goddard,N,11.74,10.26
2017,11,Goddard,S,15.11,10.91
2017,11,Goddard,N,9.49,8.08
2017,10,Goddard,S,17.78,13.45
2017,10,Goddard,N,6.77,5.30
2017,9,Goddard,S,17.91,13.92
2017,9,Goddard,N,4.82,3.35
2017,8,Goddard,S,17.22,13.62
2017,8,Goddard,N,5.48,3.64
2017,7,Goddard,S,15.30,12.28
2017,7,Goddard,N,7.94,5.65
2017,6,Goddard,S,12.41,9.80
2017,6,Goddard,N,10.76,8.63
2017,5,Goddard,S,9.01,6.83
2017,5,Goddard,N,12.63,11.01
2017,4,Goddard,S,5.44,3.93
2017,4,Goddard,N,13.75,12.26
2017,3,Goddard,S,2.70,1.83
2017,3,Goddard,N,14.29,12.61
2017,2,Goddard,S,2.29,1.64
2017,2,Goddard,N,14.12,12.32
2017,1,Goddard,S,3.78,2.56
2017,1,Goddard,N,13.19,11.37
2016,12,Goddard,S,8.28,5.51
2016,12,Goddard,N,11.46,9.62
2016,11,Goddard,S,14.22,9.84
2016,11,Goddard,N,8.66,7.01
2016,10,Goddard,S,17.46,12.94
2016,10,Goddard,N,6.08,4.40
2016,9,Goddard,S,18.15,13.86
2016,9,Goddard,N,4.53,2.91
2016,8,Goddard,S,17.89,13.98
2016,8,Goddard,N,5.37,3.31
2016,7,Goddard,S,16.02,12.55
2016,7,Goddard,N,7.94,5.37
2016,6,Goddard,S,13.24,10.61
2016,6,Goddard,N,10.41,8.21
2016,5,Goddard,S,10.10,7.91
2016,5,Goddard,N,11.92,10.25
2016,4,Goddard,S,7.22,5.38
2016,4,Goddard,N,13.68,11.98
2016,3,Goddard,S,4.07,2.77
2016,3,Goddard,N,14.40,12.61
2016,2,Goddard,S,2.79,1.86
2016,2,Goddard,N,14.20,12.43
2016,1,Goddard,S,4.69,3.03
2016,1,Goddard,N,13.46,11.80
2015,12,Goddard,S,10.66,7.09
2015,12,Goddard,N,12.04,10.64
2015,11,Goddard,S,16.18,11.90
2015,11,Goddard,N,9.85,8.48
2015,10,Goddard,S,18.41,14.36
2015,10,Goddard,N,6.97,5.49
2015,9,Goddard,S,18.44,14.45
2015,9,Goddard,N,4.62,3.42
2015,8,Goddard,S,17.75,14.02
2015,8,Goddard,N,5.60,3.63
2015,7,Goddard,S,16.78,13.45
2015,7,Goddard,N,8.38,5.66
2015,6,Goddard,S,14.47,11.48
2015,6,Goddard,N,10.88,8.70
2015,5,Goddard,S,11.72,9.21
2015,5,Goddard,N,12.47,10.90
2015,4,Goddard,S,8.37,6.37
2015,4,Goddard,N,13.89,12.33
2015,3,Goddard,S,4.96,3.45
2015,3,Goddard,N,14.37,12.78
2015,2,Goddard,S,3.80,2.54
2015,2,Goddard,N,14.40,12.85
2015,1,Goddard,S,6.85,4.34
2015,1,Goddard,N,13.60,12.17
2014,12,Goddard,S,11.93,8.21
2014,12,Goddard,N,12.35,10.89
2014,11,Goddard,S,16.39,12.26
2014,11,Goddard,N,10.11,8.75
2014,10,Goddard,S,19.00,14.83
2014,10,Goddard,N,7.23,5.70
2014,9,Goddard,S,19.76,15.75
2014,9,Goddard,N,5.22,3.74
2014,8,Goddard,S,18.91,15.10
2014,8,Goddard,N,6.08,4.37
2014,7,Goddard,S,17.11,13.95
2014,7,Goddard,N,8.11,5.96
2014,6,Goddard,S,14.69,12.06
2014,6,Goddard,N,11.03,8.76
2014,5,Goddard,S,11.52,9.03
2014,5,Goddard,N,12.70,11.05
2014,4,Goddard,S,8.34,6.41
2014,4,Goddard,N,14.09,12.43
2014,3,Goddard,S,4.90,3.32
2014,3,Goddard,N,14.76,12.95
2014,2,Goddard,S,3.84,2.65
2014,2,Goddard,N,14.42,12.56
2014,1,Goddard,S,6.33,4.38
2014,1,Goddard,N,13.65,12.10
2013,12,Goddard,S,11.85,8.34
2013,12,Goddard,N,12.18,10.87
2013,11,Goddard,S,16.87,12.77
2013,11,Goddard,N,9.94,8.66
2013,10,Goddard,S,19.02,15.13
2013,10,Goddard,N,7.45,5.95
2013,9,Goddard,S,19.39,15.28
2013,9,Goddard,N,5.21,3.78
2013,8,Goddard,S,18.66,15.13
2013,8,Goddard,N,6.01,4.17
2013,7,Goddard,S,16.81,13.73
2013,7,Goddard,N,8.13,5.81
2013,6,Goddard,S,14.15,11.27
2013,6,Goddard,N,11.36,8.95
2013,5,Goddard,S,10.92,8.49
2013,5,Goddard,N,13.00,11.25
2013,4,Goddard,S,7.62,5.75
2013,4,Goddard,N,14.30,12.75
2013,3,Goddard,S,5.02,3.49
2013,3,Goddard,N,15.03,13.45
2013,2,Goddard,S,3.84,2.58
2013,2,Goddard,N,14.72,13.20
2013,1,Goddard,S,5.54,3.94
2013,1,Goddard,N,13.70,12.02
2012,12,Goddard,S,10.39,7.38
2012,12,Goddard,N,12.01,10.45
2012,11,Goddard,S,16.11,12.07
2012,11,Goddard,N,9.39,8.06
2012,10,Goddard,S,18.59,14.45
2012,10,Goddard,N,5.89,4.58
2012,9,Goddard,S,19.21,15.41
2012,9,Goddard,N,3.57,2.41
2012,8,Goddard,S,18.10,14.56
2012,8,Goddard,N,4.72,2.93
2012,7,Goddard,S,16.30,13.31
2012,7,Goddard,N,7.67,5.09
2012,6,Goddard,S,13.55,10.79
2012,6,Goddard,N,10.67,8.16
2012,5,Goddard,S,10.46,8.15
2012,5,Goddard,N,13.01,11.05
2012,4,Goddard,S,7.31,5.55
2012,4,Goddard,N,14.63,12.87
2012,3,Goddard,S,4.55,2.91
2012,3,Goddard,N,15.20,13.41
2012,2,Goddard,S,3.55,2.19
2012,2,Goddard,N,14.55,12.72
2012,1,Goddard,S,5.65,3.71
2012,1,Goddard,N,13.73,12.21
2011,12,Goddard,S,11.20,7.40
2011,12,Goddard,N,12.15,10.63
2011,11,Goddard,S,15.76,11.77
2011,11,Goddard,N,9.77,8.52
2011,10,Goddard,S,18.22,14.23
2011,10,Goddard,N,6.46,5.02
2011,9,Goddard,S,18.74,14.57
2011,9,Goddard,N,4.56,3.21
2011,8,Goddard,S,17.81,14.04
2011,8,Goddard,N,5.50,3.38
2011,7,Goddard,S,15.75,12.34
2011,7,Goddard,N,7.72,5.40
2011,6,Goddard,S,13.33,10.54
2011,6,Goddard,N,10.75,8.54
2011,5,Goddard,S,10.09,7.85
2011,5,Goddard,N,12.68,10.74
2011,4,Goddard,S,6.10,4.39
2011,4,Goddard,N,14.11,12.45
2011,3,Goddard,S,3.37,2.26
2011,3,Goddard,N,14.55,12.83
2011,2,Goddard,S,2.52,1.86
2011,2,Goddard,N,14.36,12.76
2011,1,Goddard,S,4.51,3.05
2011,1,Goddard,N,13.46,11.83
2010,12,Goddard,S,11.27,6.94
2010,12,Goddard,N,11.83,10.43
2010,11,Goddard,S,16.75,11.92
2010,11,Goddard,N,9.61,8.43
2010,10,Goddard,S,18.65,14.41
2010,10,Goddard,N,6.98,5.48
2010,9,Goddard,S,18.80,14.43
2010,9,Goddard,N,4.87,3.34
2010,8,Goddard,S,18.61,14.95
2010,8,Goddard,N,5.87,3.88
2010,7,Goddard,S,16.92,13.74
2010,7,Goddard,N,8.07,5.57
2010,6,Goddard,S,14.41,11.65
2010,6,Goddard,N,10.59,8.37
2010,5,Goddard,S,10.64,8.33
2010,5,Goddard,N,12.87,10.88
2010,4,Goddard,S,6.72,5.00
2010,4,Goddard,N,14.66,12.85
2010,3,Goddard,S,3.85,2.66
2010,3,Goddard,N,15.14,13.53
2010,2,Goddard,S,3.11,2.11
2010,2,Goddard,N,14.58,12.96
2010,1,Goddard,S,4.96,3.33
2010,1,Goddard,N,13.74,12.04
2009,12,Goddard,S,10.74,7.09
2009,12,Goddard,N,12.20,10.59
2009,11,Goddard,S,15.85,11.80
2009,11,Goddard,N,9.77,8.36
2009,10,Goddard,S,18.30,14.35
2009,10,Goddard,N,6.92,5.24
2009,9,Goddard,S,18.96,15.08
2009,9,Goddard,N,5.26,3.76
2009,8,Goddard,S,18.10,14.45
2009,8,Goddard,N,6.14,4.16
2009,7,Goddard,S,16.26,13.09
2009,7,Goddard,N,8.47,6.12
2009,6,Goddard,S,13.91,11.09
2009,6,Goddard,N,11.32,9.25
2009,5,Goddard,S,10.93,8.46
2009,5,Goddard,N,13.19,11.48
2009,4,Goddard,S,7.80,5.96
2009,4,Goddard,N,14.50,12.92
2009,3,Goddard,S,4.44,3.02
2009,3,Goddard,N,14.98,13.43
2009,2,Goddard,S,2.99,1.97
2009,2,Goddard,N,14.81,13.21
2009,1,Goddard,S,5.71,3.50
2009,1,Goddard,N,13.91,12.32
2008,12,Goddard,S,11.51,7.39
2008,12,Goddard,N,12.36,10.97
2008,11,Goddard,S,16.25,12.01
2008,11,Goddard,N,10.34,9.05
2008,10,Goddard,S,17.99,14.12
2008,10,Goddard,N,7.35,5.77
2008,9,Goddard,S,18.15,14.39
2008,9,Goddard,N,4.69,3.26
2008,8,Goddard,S,17.64,14.13
2008,8,Goddard,N,5.91,3.79
2008,7,Goddard,S,16.09,12.95
2008,7,Goddard,N,8.68,6.06
2008,6,Goddard,S,14.06,11.40
2008,6,Goddard,N,11.21,8.85
2008,5,Goddard,S,11.05,8.60
2008,5,Goddard,N,12.97,11.25
2008,4,Goddard,S,8.24,6.23
2008,4,Goddard,N,14.35,12.78
2008,3,Goddard,S,5.28,3.68
2008,3,Goddard,N,15.18,13.53
2008,2,Goddard,S,3.89,2.40
2008,2,Goddard,N,14.95,13.21
2008,1,Goddard,S,6.41,4.07
2008,1,Goddard,N,13.89,12.30
2007,12,Goddard,S,11.98,8.38
2007,12,Goddard,N,12.03,10.18
2007,11,Goddard,S,15.89,12.16
2007,11,Goddard,N,9.76,8.06
2007,10,Goddard,S,18.51,14.59
2007,10,Goddard,N,6.04,4.33
2007,9,Goddard,S,18.86,15.39
2007,9,Goddard,N,4.27,2.82
2007,8,Goddard,S,17.68,14.03
2007,8,Goddard,N,5.34,3.19
2007,7,Goddard,S,15.96,12.61
2007,7,Goddard,N,7.94,5.13
2007,6,Goddard,S,13.29,10.48
2007,6,Goddard,N,11.22,8.21
2007,5,Goddard,S,9.65,7.54
2007,5,Goddard,N,12.78,10.77
2007,4,Goddard,S,6.42,4.70
2007,4,Goddard,N,13.85,11.83
2007,3,Goddard,S,3.83,2.54
2007,3,Goddard,N,14.54,12.56
2007,2,Goddard,S,2.90,1.94
2007,2,Goddard,N,14.51,12.58
2007,1,Goddard,S,4.67,3.00
2007,1,Goddard,N,13.70,11.86
2006,12,Goddard,S,9.85,6.48
2006,12,Goddard,N,11.95,10.17
2006,11,Goddard,S,16.23,11.61
2006,11,Goddard,N,9.66,8.13
2006,10,Goddard,S,18.73,14.68
2006,10,Goddard,N,7.54,5.80
2006,9,Goddard,S,19.09,15.18
2006,9,Goddard,N,5.86,4.01
2006,8,Goddard,S,18.10,14.54
2006,8,Goddard,N,6.50,4.31
2006,7,Goddard,S,16.11,12.88
2006,7,Goddard,N,8.46,5.79
2006,6,Goddard,S,13.34,10.58
2006,6,Goddard,N,10.92,8.41
2006,5,Goddard,S,9.46,7.20
2006,5,Goddard,N,12.52,10.45
2006,4,Goddard,S,6.01,4.28
2006,4,Goddard,N,13.91,12.04
2006,3,Goddard,S,3.21,2.01
2006,3,Goddard,N,14.42,12.52
2006,2,Goddard,S,2.65,1.76
2006,2,Goddard,N,14.32,12.35
2006,1,Goddard,S,4.16,2.81
2006,1,Goddard,N,13.47,11.65
2005,12,Goddard,S,9.68,6.33
2005,12,Goddard,N,12.23,10.56
2005,11,Goddard,S,16.32,11.80
2005,11,Goddard,N,10.22,8.80
2005,10,Goddard,S,18.48,14.04
2005,10,Goddard,N,7.35,5.78
2005,9,Goddard,S,18.80,14.85
2005,9,Goddard,N,5.50,4.07
2005,8,Goddard,S,17.92,13.95
2005,8,Goddard,N,6.30,4.21
2005,7,Goddard,S,16.16,12.72
2005,7,Goddard,N,8.65,5.90
2005,6,Goddard,S,13.29,10.31
2005,6,Goddard,N,11.16,8.81
2005,5,Goddard,S,10.29,7.96
2005,5,Goddard,N,12.91,10.88
2005,4,Goddard,S,7.03,5.19
2005,4,Goddard,N,14.09,12.23
2005,3,Goddard,S,4.08,2.73
2005,3,Goddard,N,14.69,12.74
2005,2,Goddard,S,2.97,1.97
2005,2,Goddard,N,14.37,12.35
2005,1,Goddard,S,4.75,3.18
2005,1,Goddard,N,13.66,11.92
2004,12,Goddard,S,10.23,6.93
2004,12,Goddard,N,12.55,10.98
2004,11,Goddard,S,16.08,11.75
2004,11,Goddard,N,10.34,8.95
2004,10,Goddard,S,18.46,14.12
2004,10,Goddard,N,7.93,6.40
2004,9,Goddard,S,18.92,14.59
2004,9,Goddard,N,5.98,4.39
2004,8,Goddard,S,18.01,14.23
2004,8,Goddard,N,6.85,4.67
2004,7,Goddard,S,16.33,13.16
2004,7,Goddard,N,9.43,6.51
2004,6,Goddard,S,13.78,10.89
2004,6,Goddard,N,11.45,9.24
2004,5,Goddard,S,10.47,8.19
2004,5,Goddard,N,12.56,10.92
2004,4,Goddard,S,7.28,5.39
2004,4,Goddard,N,13.99,12.16
2004,3,Goddard,S,4.53,3.16
2004,3,Goddard,N,14.99,12.99
2004,2,Goddard,S,3.58,2.36
2004,2,Goddard,N,14.91,12.94
2004,1,Goddard,S,5.59,3.80
2004,1,Goddard,N,14.03,12.26
2003,12,Goddard,S,10.56,7.20
2003,12,Goddard,N,12.59,10.80
2003,11,Goddard,S,16.11,11.47
2003,11,Goddard,N,10.13,8.57
2003,10,Goddard,S,18.20,13.87
2003,10,Goddard,N,7.85,5.98
2003,9,Goddard,S,18.30,14.14
2003,9,Goddard,N,6.12,4.05
2003,8,Goddard,S,17.58,13.77
2003,8,Goddard,N,6.94,4.52
2003,7,Goddard,S,16.40,13.17
2003,7,Goddard,N,9.21,6.15
2003,6,Goddard,S,13.99,11.16
2003,6,Goddard,N,11.60,9.11
2003,5,Goddard,S,10.74,8.45
2003,5,Goddard,N,13.02,10.89
2003,4,Goddard,S,7.21,5.56
2003,4,Goddard,N,14.51,12.46
2003,3,Goddard,S,4.44,3.24
2003,3,Goddard,N,15.48,13.42
2003,2,Goddard,S,3.79,2.66
2003,2,Goddard,N,15.19,13.23
2003,1,Goddard,S,5.77,4.11
2003,1,Goddard,N,14.39,12.29
2002,12,Goddard,S,10.79,7.61
2002,12,Goddard,N,12.61,10.64
2002,11,Goddard,S,15.41,11.67
2002,11,Goddard,N,10.34,8.75
2002,10,Goddard,S,17.87,13.82
2002,10,Goddard,N,8.16,6.24
2002,9,Goddard,S,17.89,14.10
2002,9,Goddard,N,5.83,4.03
2002,8,Goddard,S,17.07,13.74
2002,8,Goddard,N,6.60,4.32
2002,7,Goddard,S,15.41,12.52
2002,7,Goddard,N,9.27,6.44
2002,6,Goddard,S,12.38,9.70
2002,6,Goddard,N,11.58,9.19
2002,5,Goddard,S,9.51,7.18
2002,5,Goddard,N,12.97,11.16
2002,4,Goddard,S,6.33,4.59
2002,4,Goddard,N,14.30,12.41
2002,3,Goddard,S,3.75,2.36
2002,3,Goddard,N,15.35,13.42
2002,2,Goddard,S,2.96,1.82
2002,2,Goddard,N,15.34,13.42
2002,1,Goddard,S,4.74,2.95
2002,1,Goddard,N,14.27,12.26
2001,12,Goddard,S,10.35,6.36
2001,12,Goddard,N,12.49,10.55
2001,11,Goddard,S,15.61,11.00
2001,11,Goddard,N,10.66,9.08
2001,10,Goddard,S,17.73,13.34
2001,10,Goddard,N,8.30,6.65
2001,9,Goddard,S,18.17,14.36
2001,9,Goddard,N,6.73,4.59
2001,8,Goddard,S,17.42,13.75
2001,8,Goddard,N,7.46,4.94
2001,7,Goddard,S,15.85,12.58
2001,7,Goddard,N,9.07,6.29
2001,6,Goddard,S,13.42,10.56
2001,6,Goddard,N,11.46,9.09
2001,5,Goddard,S,10.33,8.00
2001,5,Goddard,N,13.51,11.38
2001,4,Goddard,S,7.04,5.30
2001,4,Goddard,N,14.86,13.05
2001,3,Goddard,S,4.73,3.36
2001,3,Goddard,N,15.52,13.64
2001,2,Goddard,S,3.65,2.44
2001,2,Goddard,N,15.21,13.22
2001,1,Goddard,S,5.23,3.64
2001,1,Goddard,N,14.20,12.35
2000,12,Goddard,S,9.91,6.95
2000,12,Goddard,N,12.64,10.96
2000,11,Goddard,S,15.76,11.81
2000,11,Goddard,N,10.32,8.87
2000,10,Goddard,S,18.13,14.26
2000,10,Goddard,N,8.38,6.69
2000,9,Goddard,S,18.89,15.07
2000,9,Goddard,N,6.25,4.35
2000,8,Goddard,S,18.21,14.64
2000,8,Goddard,N,7.17,4.78
2000,7,Goddard,S,16.10,12.99
2000,7,Goddard,N,9.51,6.39
2000,6,Goddard,S,13.89,11.04
2000,6,Goddard,N,11.67,9.05
2000,5,Goddard,S,10.92,8.56
2000,5,Goddard,N,13.15,11.24
2000,4,Goddard,S,7.13,5.31
2000,4,Goddard,N,14.56,12.60
2000,3,Goddard,S,4.09,2.67
2000,3,Goddard,N,15.22,13.17
2000,2,Goddard,S,2.91,1.72
2000,2,Goddard,N,15.14,13.09
2000,1,Goddard,S,4.75,2.92
2000,1,Goddard,N,14.22,12.30
1999,12,Goddard,S,10.72,6.80
1999,12,Goddard,N,12.64,10.99
1999,11,Goddard,S,15.96,11.51
1999,11,Goddard,N,10.80,9.26
1999,10,Goddard,S,18.35,14.23
1999,10,Goddard,N,8.60,6.83
1999,9,Goddard,S,18.70,14.62
1999,9,Goddard,N,6.12,4.29
1999,8,Goddard,S,17.96,14.24
1999,8,Goddard,N,7.23,4.75
1999,7,Goddard,S,16.28,13.06
1999,7,Goddard,N,9.49,6.55
1999,6,Goddard,S,13.65,10.83
1999,6,Goddard,N,11.78,9.25
1999,5,Goddard,S,10.27,8.07
1999,5,Goddard,N,13.75,11.66
1999,4,Goddard,S,6.89,5.13
1999,4,Goddard,N,15.08,13.15
1999,3,Goddard,S,3.98,2.58
1999,3,Goddard,N,15.40,13.54
1999,2,Goddard,S,2.97,1.77
